,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Aaron Holiday,2.7,6.0,0.6,0.7,1.4,7.3,1.9,1.7,0.5,0.1,0.8
Alec Burks,2.7,8.0,2.5,2.8,1.7,9.5,2.1,1.3,0.4,0.2,0.4
Al Horford,2.9,6.0,0.4,0.4,1.4,7.5,7.0,2.9,0.4,1.0,0.9
Anthony Black,4.2,8.2,1.4,2.4,1.0,11.0,5.6,3.6,1.2,0.8,2.2
Ayo Dosunmu,6.0,13.0,1.6,2.2,1.8,15.6,4.8,3.8,1.6,0.6,1.6
Bennedict Mathurin,4.8,10.7,2.6,3.1,1.3,13.6,3.6,1.9,0.6,0.2,1.5
Bilal Coulibaly,3.2,6.2,1.1,1.7,1.1,8.5,4.1,1.8,0.9,0.6,1.5
Bismack Biyombo,4.6,8.4,1.6,3.4,0.0,11.0,12.6,3.4,0.6,2.2,2.4
Cameron Payne,4.6,9.6,1.2,1.4,2.4,12.6,2.4,4.8,0.8,0.2,1.6
Cam Reddish,2.4,6.2,1.2,1.4,0.8,6.9,2.7,1.6,1.3,0.3,0.7
Cason Wallace,5.2,10.0,1.0,1.0,2.0,13.4,4.4,3.0,1.2,1.0,1.0
Cedi Osman,5.6,12.2,1.4,2.2,2.4,15.2,4.6,3.6,0.8,0.4,1.2
Christian Braun,3.1,6.6,1.4,1.9,0.7,8.3,3.6,1.8,0.4,0.3,0.7
Chris Boucher,2.1,4.6,1.4,1.9,0.7,6.3,3.7,0.3,0.3,0.6,0.4
Corey Kispert,4.1,8.6,1.5,2.0,2.1,11.6,2.2,1.5,0.4,0.2,0.9
Craig Porter Jr.,3.2,6.4,1.1,1.7,0.3,7.9,2.8,3.5,0.8,0.5,1.0
Daniel Theis,2.8,5.5,1.0,1.4,0.5,7.1,3.5,0.8,0.4,0.9,0.6
Dante Exum,3.8,6.6,1.0,1.4,1.0,9.5,3.0,2.9,0.6,0.2,0.9
David Roddy,6.0,15.0,1.8,2.8,2.0,16.0,7.8,2.6,1.2,0.6,1.8
Day'Ron Sharpe,5.8,10.2,2.6,4.4,0.0,14.4,13.8,2.8,1.0,1.8,2.2
Dean Wade,1.8,4.6,0.4,0.6,1.5,5.6,4.8,0.9,0.9,0.3,0.5
Dennis Smith Jr.,5.4,13.4,2.0,2.4,1.0,13.8,6.0,7.4,1.8,0.4,2.2
Derrick Jones Jr.,3.8,8.0,1.5,1.9,1.5,10.5,3.8,1.0,0.9,0.8,0.8
Doug McDermott,4.0,9.2,0.6,0.8,3.2,12.0,2.0,2.8,0.6,0.2,1.2
Drew Eubanks,2.5,4.2,1.1,1.3,0.1,6.2,4.4,1.1,0.4,1.0,1.2
Dwight Powell,1.6,2.1,1.5,1.8,0.0,4.6,3.4,1.4,0.4,0.4,0.4
Dyson Daniels,4.6,11.0,1.4,2.2,1.4,11.8,7.8,5.2,2.6,0.6,2.0
Gary Harris,4.8,11.4,2.0,2.4,2.6,14.4,3.4,3.8,1.8,0.4,1.0
Gary Trent Jr.,4.2,10.4,0.9,1.4,2.2,11.6,2.2,1.7,0.8,0.1,0.6
Georges Niang,3.0,7.7,0.4,0.5,1.6,8.1,3.4,1.2,0.3,0.2,0.9
Grant Williams,3.1,7.4,0.8,1.2,2.0,9.0,3.9,1.7,0.5,0.6,0.8
Isaac Okoro,3.0,6.2,1.4,2.0,1.0,8.4,3.5,2.1,0.8,0.4,0.8
Isaiah Jackson,2.8,4.1,1.3,1.9,0.0,6.9,4.2,0.9,0.6,1.4,0.6
Isaiah Joe,6.2,13.8,1.8,2.2,4.6,18.6,4.6,2.2,1.4,0.8,1.0
Jabari Walker,2.9,6.0,1.7,2.2,0.5,8.1,5.4,0.7,0.7,0.5,0.9
