,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Wesley Matthews,0.5,2.1,0.7,1.0,0.3,2.1,1.4,0.6,0.5,0.2,0.3
Garrison Mathews,1.0,2.1,0.0,0.1,0.9,2.8,1.1,0.4,0.3,0.1,0.3
Payton Pritchard,2.8,6.6,0.5,0.7,1.7,7.7,3.2,3.0,0.4,0.1,0.6
Luke Kornet,2.1,3.0,0.8,1.0,0.0,5.0,3.5,0.8,0.4,0.9,0.4
Oshae Brissett,1.3,2.9,1.0,1.5,0.4,3.9,3.0,0.5,0.5,0.0,0.2
Neemias Queta,2.0,3.6,0.9,1.1,0.0,4.9,4.7,0.5,0.4,0.4,0.4
Dorian Finney-Smith,3.5,8.2,0.2,0.3,2.3,9.6,4.7,1.3,0.7,0.5,0.8
Dennis Smith Jr.,2.8,6.7,1.0,1.3,0.5,7.2,3.3,4.2,1.0,0.2,1.0
Royce O'Neale,2.5,6.6,0.3,0.5,1.9,7.3,4.6,3.1,0.8,0.6,1.1
Lonnie Walker IV,4.8,9.8,1.4,1.9,2.4,13.4,2.5,1.5,0.6,0.4,1.3
Trendon Watford,2.6,4.7,0.9,1.1,0.3,6.3,3.2,1.7,0.5,0.3,0.9
Jalen Wilson,1.5,2.9,1.4,1.4,0.2,4.5,2.2,0.8,0.3,0.1,0.3
Ish Smith,1.8,3.8,0.1,0.1,0.1,3.7,1.7,3.2,0.3,0.1,1.3
JT Thor,1.3,3.7,0.1,0.2,0.5,3.3,2.7,0.4,0.2,0.4,0.2
Bryce McGowens,1.9,4.3,0.9,1.2,0.8,5.4,1.8,1.0,0.3,0.1,0.6
Nick Smith Jr.,2.8,6.3,0.1,0.2,1.5,7.1,1.6,1.1,0.1,0.3,0.8
Brandon Miller,5.2,12.6,1.5,1.9,2.0,13.9,3.7,2.2,0.7,0.5,1.6
Jevon Carter,2.0,5.5,0.1,0.1,1.2,5.2,0.7,1.2,0.6,0.3,0.5
Andre Drummond,3.0,5.6,1.4,2.6,0.0,7.5,8.4,0.6,1.2,0.6,1.2
Patrick Williams,3.7,8.2,1.2,1.5,1.3,9.8,3.9,1.6,0.9,0.8,1.3
Ayo Dosunmu,3.1,6.8,0.8,1.0,1.0,8.0,2.5,1.9,0.7,0.3,0.8
Dalen Terry,0.8,2.1,0.5,0.6,0.2,2.4,1.7,1.2,0.2,0.3,0.5
Georges Niang,3.2,7.7,0.5,0.6,1.7,8.5,3.8,1.2,0.3,0.2,0.8
Sam Merrill,2.4,6.1,0.3,0.3,2.1,7.2,1.9,1.3,0.3,0.0,0.3
Isaac Okoro,3.1,6.2,1.6,2.2,0.9,8.6,3.4,2.0,0.8,0.4,0.9
Tristan Thompson,1.6,2.4,0.4,1.2,0.0,3.6,3.7,1.0,0.2,0.3,0.6
Dean Wade,1.7,4.2,0.5,0.6,1.3,5.1,4.5,0.9,0.9,0.3,0.5
Craig Porter Jr.,3.0,5.9,1.0,1.5,0.3,7.2,2.7,3.2,0.7,0.5,1.1
Josh Green,2.7,5.9,0.5,0.9,1.0,7.0,2.8,2.4,0.9,0.2,0.9
Derrick Jones Jr.,3.8,7.9,1.3,1.8,1.4,10.3,3.8,1.0,0.9,0.9,0.9
Dwight Powell,1.6,2.3,1.4,1.9,0.0,4.8,3.8,1.6,0.5,0.4,0.5
Tim Hardaway Jr.,6.0,14.4,2.3,2.7,3.2,17.5,3.7,1.8,0.4,0.0,0.8
Seth Curry,1.6,4.2,0.5,0.5,0.9,4.5,1.6,0.9,0.5,0.1,0.5
Grant Williams,2.9,7.0,0.8,1.2,1.8,8.4,3.6,1.6,0.4,0.7,1.0
A.J. Lawson,1.8,3.7,0.6,0.9,0.6,4.8,1.4,0.6,0.6,0.1,0.5
Jaden Hardy,2.9,7.6,0.8,1.2,1.3,7.9,2.1,1.7,0.4,0.1,0.7
Zeke Nnaji,1.2,2.5,0.7,1.1,0.1,3.2,2.2,0.5,0.2,0.6,0.6
Justin Holiday,1.4,2.9,0.0,0.0,0.9,3.8,1.3,1.1,0.6,0.0,0.3
Reggie Jackson,4.8,10.2,0.9,1.2,1.4,11.9,2.1,4.3,0.6,0.2,1.5
Christian Braun,2.9,6.3,1.3,1.8,0.7,7.9,3.6,1.6,0.4,0.4,0.8
Peyton Watson,2.7,5.4,1.0,1.4,0.7,7.0,2.7,0.9,0.5,0.8,0.5
Isaiah Stewart,3.9,8.3,1.2,1.7,1.4,10.6,7.0,1.7,0.3,0.6,1.6
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.5,1.0,0.2,0.5,1.1
Kevin Knox II,3.4,6.8,0.7,0.8,1.3,8.8,2.5,0.8,0.5,0.3,0.7
Alec Burks,3.4,9.0,2.6,2.9,2.0,11.5,2.2,1.3,0.4,0.3,0.7
James Wiseman,2.7,4.0,0.8,1.3,0.0,6.3,4.2,0.7,0.1,0.7,0.9
Killian Hayes,3.0,7.5,0.9,1.4,0.6,7.5,2.9,4.7,1.0,0.5,1.3
Isaiah Livers,1.7,5.0,0.5,0.8,1.0,5.0,2.1,1.1,0.6,0.2,0.7
Jaden Ivey,4.7,10.4,3.0,4.0,1.2,13.5,3.7,3.5,0.8,0.6,2.2
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Marcus Sasser,2.5,5.5,0.6,0.7,1.1,6.8,1.6,2.5,0.6,0.2,0.8
Andrew Wiggins,4.6,10.7,1.8,2.6,0.9,11.9,4.1,1.5,0.4,0.4,1.5
Jonathan Kuminga,4.8,9.5,2.6,3.8,0.8,13.1,4.1,1.5,0.6,0.3,1.4
