,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Garrison Mathews,1.0,2.1,0.0,0.1,0.9,2.8,1.1,0.4,0.3,0.1,0.3
Wesley Matthews,0.5,2.1,0.7,1.0,0.3,2.1,1.4,0.6,0.5,0.2,0.3
Payton Pritchard,2.7,6.5,0.4,0.6,1.7,7.5,3.2,3.0,0.4,0.1,0.6
Oshae Brissett,1.2,2.8,0.8,1.3,0.4,3.6,3.2,0.5,0.6,0.0,0.2
Lamar Stevens,1.1,2.0,0.2,0.3,0.2,2.5,1.5,0.5,0.4,0.3,0.4
Luke Kornet,2.1,3.1,0.8,1.0,0.0,5.1,3.6,0.9,0.5,1.0,0.4
Neemias Queta,2.0,3.5,0.9,1.2,0.0,4.9,4.8,0.5,0.5,0.3,0.4
Brandon Miller,5.4,12.9,1.5,1.9,2.0,14.3,3.9,2.2,0.7,0.5,1.7
JT Thor,1.3,3.5,0.1,0.2,0.5,3.2,2.6,0.4,0.2,0.4,0.2
Bryce McGowens,1.8,4.2,0.9,1.2,0.8,5.2,1.9,1.0,0.3,0.1,0.5
Ish Smith,1.9,3.9,0.1,0.1,0.1,3.9,1.7,3.2,0.3,0.1,1.3
Nick Smith Jr.,2.6,5.7,0.1,0.1,1.5,6.8,1.3,0.9,0.2,0.4,0.7
Ayo Dosunmu,3.1,6.8,0.8,1.1,0.9,8.0,2.5,1.9,0.8,0.4,0.8
Patrick Williams,3.7,8.2,1.2,1.6,1.3,10.0,4.0,1.4,0.9,0.8,1.3
Jevon Carter,2.0,5.5,0.1,0.1,1.2,5.2,0.7,1.2,0.6,0.3,0.5
Dalen Terry,0.8,2.0,0.5,0.6,0.2,2.4,1.8,1.3,0.2,0.3,0.5
Grant Williams,3.0,7.1,0.8,1.2,1.8,8.6,3.7,1.6,0.5,0.7,1.0
Jaden Hardy,2.9,7.6,0.8,1.1,1.3,7.8,2.1,1.6,0.4,0.1,0.8
Josh Green,2.6,5.8,0.6,0.9,1.0,6.9,2.8,2.5,0.9,0.2,0.9
Derrick Jones Jr.,3.7,7.8,1.4,1.9,1.4,10.3,3.8,1.0,1.0,0.9,0.9
Dwight Powell,1.6,2.3,1.5,2.0,0.0,4.8,3.6,1.5,0.5,0.4,0.4
Seth Curry,1.6,4.4,0.5,0.6,1.0,4.8,1.6,0.9,0.6,0.1,0.4
A.J. Lawson,1.8,3.7,0.7,0.9,0.6,4.9,1.4,0.6,0.6,0.1,0.5
Christian Braun,3.0,6.4,1.4,1.9,0.7,8.1,3.6,1.7,0.4,0.4,0.7
Zeke Nnaji,1.2,2.5,0.7,1.2,0.1,3.3,2.3,0.5,0.2,0.6,0.7
Justin Holiday,1.5,3.0,0.0,0.0,1.0,4.0,1.4,1.1,0.6,0.0,0.2
Peyton Watson,2.7,5.3,1.1,1.5,0.7,7.1,2.7,1.0,0.5,0.8,0.6
Reggie Jackson,4.8,10.3,1.0,1.3,1.4,12.1,2.2,4.5,0.6,0.2,1.5
Marvin Bagley III,8.2,14.0,3.8,4.6,0.1,20.3,9.1,2.1,0.3,1.1,2.3
Marcus Sasser,5.4,11.2,1.2,1.4,2.3,14.3,3.1,4.6,1.1,0.3,1.6
Jaden Ivey,8.8,19.3,5.9,7.8,2.2,25.8,7.1,6.4,1.5,1.1,4.3
Isaiah Livers,3.6,10.6,1.2,1.8,1.8,10.2,4.3,2.1,1.2,0.3,1.6
Kevin Knox II,6.2,12.7,1.2,1.4,2.4,16.1,4.4,1.4,0.9,0.6,1.2
James Wiseman,5.7,8.4,1.6,2.6,0.0,13.0,8.5,1.1,0.3,1.4,1.9
Killian Hayes,6.3,15.4,1.9,2.8,1.2,15.6,5.7,8.6,2.1,1.0,2.3
Moses Moody,3.0,6.2,1.3,1.7,1.0,8.4,3.1,0.8,0.7,0.3,0.7
Kevon Looney,2.2,3.8,1.0,1.4,0.0,5.4,7.2,2.5,0.6,0.2,0.8
Andrew Wiggins,4.5,10.8,1.9,2.8,0.9,11.9,4.2,1.3,0.3,0.4,1.5
Trayce Jackson-Davis,2.7,3.9,1.1,1.7,0.0,6.4,4.3,1.0,0.3,0.8,0.8
Amen Thompson,2.0,4.7,1.2,1.9,0.2,5.4,3.5,1.8,0.8,0.2,1.1
Jock Landale,0.7,2.0,0.4,0.5,0.1,1.9,1.8,0.5,0.2,0.3,0.4
