,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Garrison Mathews,1.0,2.1,0.0,0.1,0.9,2.8,1.0,0.3,0.3,0.1,0.3
Wesley Matthews,0.6,2.2,0.8,1.1,0.3,2.2,1.4,0.7,0.5,0.2,0.3
Payton Pritchard,5.3,12.9,0.8,1.2,3.3,14.7,6.4,6.1,0.8,0.2,1.1
Oshae Brissett,2.1,4.5,1.2,2.0,0.7,6.1,5.4,0.9,0.8,0.0,0.6
Lamar Stevens,2.0,3.7,0.5,0.7,0.3,4.8,2.3,1.0,0.7,0.5,0.7
Luke Kornet,4.6,6.3,1.4,1.6,0.0,10.6,7.0,1.5,0.9,1.9,0.7
Neemias Queta,4.3,7.5,2.0,2.7,0.0,10.7,10.5,1.2,1.0,0.7,0.8
Royce O'Neale,2.6,6.9,0.3,0.5,2.0,7.6,4.7,3.2,0.8,0.7,1.0
Dennis Smith Jr.,2.8,6.7,1.0,1.2,0.6,7.0,2.9,3.8,0.9,0.2,1.1
Day'Ron Sharpe,3.0,5.2,1.3,2.3,0.0,7.4,7.1,1.4,0.5,0.9,1.1
Dorian Finney-Smith,3.7,8.5,0.2,0.3,2.3,9.9,4.9,1.2,0.7,0.5,0.8
Trendon Watford,2.6,4.8,1.0,1.2,0.3,6.5,3.3,1.8,0.5,0.3,0.9
Jalen Wilson,1.5,2.9,1.4,1.4,0.2,4.5,2.2,0.8,0.3,0.1,0.3
JT Thor,1.2,3.2,0.1,0.3,0.5,3.1,2.4,0.4,0.2,0.4,0.2
Bryce McGowens,1.9,4.1,0.9,1.3,0.8,5.5,1.9,1.0,0.3,0.1,0.5
Ish Smith,1.8,3.7,0.1,0.1,0.1,3.8,1.7,3.3,0.3,0.1,1.4
Nick Smith Jr.,2.4,5.1,0.1,0.1,1.4,6.2,1.1,0.8,0.1,0.4,0.6
Ayo Dosunmu,3.1,6.9,0.8,1.1,0.9,8.0,2.5,1.9,0.8,0.3,0.8
Patrick Williams,3.8,8.3,1.2,1.6,1.3,10.0,4.0,1.5,0.9,0.8,1.2
Jevon Carter,2.0,5.6,0.1,0.1,1.2,5.2,0.7,1.2,0.6,0.3,0.6
Dalen Terry,0.8,2.0,0.4,0.6,0.2,2.1,1.8,1.2,0.2,0.4,0.6
Isaac Okoro,3.2,6.2,1.5,2.2,0.9,8.8,3.3,2.2,0.9,0.4,0.8
Georges Niang,3.1,7.7,0.5,0.6,1.6,8.3,3.6,1.2,0.3,0.1,0.9
