,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Garrison Mathews,1.9,4.2,0.0,0.2,1.8,5.7,2.2,0.8,0.6,0.3,0.7
Wesley Matthews,1.1,4.1,1.5,2.0,0.6,4.2,2.7,1.3,0.9,0.4,0.6
Payton Pritchard,5.5,13.2,1.1,1.4,3.3,15.4,6.4,5.9,0.8,0.2,1.2
Oshae Brissett,2.5,5.8,1.9,2.9,0.7,7.7,6.1,1.0,1.0,0.1,0.5
Lamar Stevens,2.1,4.6,0.9,1.1,0.3,5.4,3.3,0.9,0.7,0.7,0.7
Luke Kornet,4.2,6.1,1.7,1.9,0.0,10.0,7.0,1.7,0.9,1.8,0.8
Neemias Queta,4.0,7.1,1.7,2.3,0.0,9.7,9.4,1.0,0.9,0.7,0.9
Royce O'Neale,2.5,6.6,0.3,0.5,1.9,7.3,4.6,3.1,0.8,0.6,1.1
Dennis Smith Jr.,2.8,6.7,1.0,1.3,0.5,7.2,3.3,4.2,1.0,0.2,1.0
Dorian Finney-Smith,3.5,8.2,0.2,0.3,2.3,9.6,4.7,1.3,0.7,0.5,0.8
Lonnie Walker IV,4.8,9.8,1.4,1.9,2.4,13.4,2.5,1.5,0.6,0.4,1.3
Trendon Watford,2.6,4.7,0.9,1.1,0.3,6.3,3.2,1.7,0.5,0.3,0.9
Jalen Wilson,1.5,2.9,1.4,1.4,0.2,4.5,2.2,0.8,0.3,0.1,0.3
Brandon Miller,5.2,12.6,1.5,1.9,2.0,13.9,3.7,2.2,0.7,0.5,1.6
JT Thor,1.3,3.7,0.1,0.2,0.5,3.3,2.7,0.4,0.2,0.4,0.2
Bryce McGowens,1.9,4.3,0.9,1.2,0.8,5.4,1.8,1.0,0.3,0.1,0.6
Ish Smith,1.8,3.8,0.1,0.1,0.1,3.7,1.7,3.2,0.3,0.1,1.3
Nick Smith Jr.,2.8,6.3,0.1,0.2,1.5,7.1,1.6,1.1,0.1,0.3,0.8
Ayo Dosunmu,6.2,13.5,1.5,2.0,2.0,15.9,4.9,3.8,1.4,0.7,1.7
Patrick Williams,7.3,16.3,2.4,3.1,2.6,19.6,7.7,3.1,1.9,1.5,2.6
Andre Drummond,6.0,11.2,2.9,5.2,0.0,15.0,16.8,1.1,2.3,1.2,2.4
Jevon Carter,3.9,11.0,0.2,0.3,2.4,10.4,1.5,2.5,1.1,0.6,1.1
Dalen Terry,1.7,4.2,0.9,1.2,0.5,4.8,3.3,2.5,0.4,0.6,1.1
Isaac Okoro,3.1,6.2,1.6,2.2,0.9,8.6,3.4,2.0,0.8,0.4,0.9
Georges Niang,3.2,7.7,0.5,0.6,1.7,8.5,3.8,1.2,0.3,0.2,0.8
Craig Porter Jr.,3.0,5.9,1.0,1.5,0.3,7.2,2.7,3.2,0.7,0.5,1.1
Dean Wade,1.7,4.2,0.5,0.6,1.3,5.1,4.5,0.9,0.9,0.3,0.5
Sam Merrill,2.4,6.1,0.3,0.3,2.1,7.2,1.9,1.3,0.3,0.0,0.3
Tristan Thompson,1.6,2.4,0.4,1.2,0.0,3.6,3.7,1.0,0.2,0.3,0.6
Grant Williams,5.8,13.9,1.7,2.4,3.5,16.9,7.3,3.2,0.9,1.3,2.1
Jaden Hardy,5.8,15.1,1.6,2.4,2.6,15.8,4.2,3.4,0.7,0.1,1.5
Josh Green,5.5,11.8,1.0,1.8,2.1,14.1,5.6,4.9,1.7,0.4,1.7
Tim Hardaway Jr.,12.0,28.7,4.6,5.3,6.3,34.9,7.3,3.5,0.8,0.1,1.7
Derrick Jones Jr.,7.5,15.8,2.7,3.7,2.8,20.5,7.7,2.0,1.8,1.8,1.8
Dwight Powell,3.3,4.6,2.9,3.8,0.1,9.5,7.6,3.1,1.1,0.7,0.9
Seth Curry,3.1,8.3,0.9,1.1,1.8,9.0,3.1,1.7,1.1,0.2,0.9
A.J. Lawson,3.5,7.4,1.2,1.8,1.2,9.5,2.9,1.1,1.1,0.1,1.0
Christian Braun,2.9,6.3,1.3,1.8,0.7,7.9,3.6,1.6,0.4,0.4,0.8
Zeke Nnaji,1.2,2.5,0.7,1.1,0.1,3.2,2.2,0.5,0.2,0.6,0.6
Justin Holiday,1.4,2.9,0.0,0.0,0.9,3.8,1.3,1.1,0.6,0.0,0.3
Peyton Watson,2.7,5.4,1.0,1.4,0.7,7.0,2.7,0.9,0.5,0.8,0.5
Reggie Jackson,4.8,10.2,0.9,1.2,1.4,11.9,2.1,4.3,0.6,0.2,1.5
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.5,1.0,0.2,0.5,1.1
Alec Burks,3.4,9.0,2.6,2.9,2.0,11.5,2.2,1.3,0.4,0.3,0.7
Marcus Sasser,2.5,5.5,0.6,0.7,1.1,6.8,1.6,2.5,0.6,0.2,0.8
Jaden Ivey,4.7,10.4,3.0,4.0,1.2,13.5,3.7,3.5,0.8,0.6,2.2
Isaiah Livers,1.7,5.0,0.5,0.8,1.0,5.0,2.1,1.1,0.6,0.2,0.7
Kevin Knox II,3.4,6.8,0.7,0.8,1.3,8.8,2.5,0.8,0.5,0.3,0.7
Isaiah Stewart,3.9,8.3,1.2,1.7,1.4,10.6,7.0,1.7,0.3,0.6,1.6
James Wiseman,2.7,4.0,0.8,1.3,0.0,6.3,4.2,0.7,0.1,0.7,0.9
Killian Hayes,3.0,7.5,0.9,1.4,0.6,7.5,2.9,4.7,1.0,0.5,1.3
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Kevon Looney,4.6,7.5,2.0,2.8,0.0,11.2,14.4,4.8,1.1,0.6,1.5
Andrew Wiggins,9.1,21.5,3.6,5.3,1.9,23.8,8.3,3.0,0.7,0.8,2.9
Jonathan Kuminga,9.7,18.9,5.2,7.5,1.5,26.1,8.3,3.1,1.1,0.6,2.9
Amen Thompson,4.0,9.3,2.1,3.4,0.4,10.6,6.6,3.8,1.6,0.3,2.2
Aaron Holiday,4.9,11.1,1.3,1.4,2.5,13.5,3.9,3.3,1.0,0.2,1.5
Jae'Sean Tate,4.0,8.2,1.1,1.6,1.0,10.2,7.4,2.1,1.5,0.3,0.9
Jeff Green,4.4,8.1,3.8,4.6,0.7,13.4,4.0,1.5,0.3,0.9,1.4
Andrew Nembhard,6.6,13.8,0.6,0.8,1.4,15.2,3.6,8.1,1.8,0.1,3.7
Isaiah Jackson,5.8,8.4,2.8,4.0,0.0,14.4,8.4,1.8,1.3,2.7,1.4
Jarace Walker,2.5,5.7,1.0,1.2,0.8,6.8,2.2,2.2,0.7,0.5,0.7
Jordan Nwora,4.1,8.4,1.0,1.1,1.2,10.5,3.6,1.9,0.6,0.1,1.4
Obi Toppin,9.2,15.6,2.4,3.1,2.8,23.6,8.1,3.1,1.0,1.1,1.5
