,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Saddiq Bey,4.5,10.5,2.1,2.6,1.8,13.0,6.6,1.4,1.1,0.2,1.0
Garrison Mathews,1.1,2.3,0.0,0.2,1.0,3.2,1.1,0.4,0.3,0.1,0.4
Payton Pritchard,2.8,6.7,0.6,0.7,1.7,7.9,3.2,3.0,0.4,0.1,0.6
Lamar Stevens,1.0,2.3,0.4,0.5,0.1,2.5,1.5,0.4,0.3,0.3,0.4
Luke Kornet,2.0,3.0,0.8,0.9,0.0,4.9,3.4,0.8,0.4,0.9,0.4
Oshae Brissett,1.3,2.9,1.0,1.4,0.4,4.0,3.0,0.5,0.5,0.0,0.2
Neemias Queta,2.0,3.6,0.9,1.1,0.0,4.9,4.7,0.5,0.4,0.4,0.4
Sam Hauser,2.9,6.5,0.3,0.3,2.3,8.4,3.7,0.9,0.4,0.3,0.5
Dorian Finney-Smith,3.5,8.2,0.3,0.3,2.2,9.4,4.8,1.3,0.7,0.6,0.8
Dennis Smith Jr.,2.8,6.8,1.0,1.3,0.5,7.2,3.4,4.2,1.1,0.2,1.1
Royce O'Neale,2.6,6.7,0.3,0.5,2.0,7.5,4.7,3.1,0.7,0.6,1.1
Lonnie Walker IV,4.6,9.5,1.4,1.8,2.3,12.8,2.5,1.5,0.6,0.4,1.3
Trendon Watford,2.5,4.5,0.9,1.0,0.3,6.1,3.1,1.6,0.5,0.2,0.8
Jalen Wilson,1.5,2.9,1.4,1.4,0.2,4.5,2.2,0.8,0.3,0.1,0.3
Ish Smith,1.7,3.7,0.1,0.1,0.1,3.6,1.7,3.1,0.3,0.1,1.3
Cody Martin,2.9,7.5,0.5,1.2,1.1,7.4,2.8,2.1,1.5,0.8,1.1
JT Thor,1.3,3.8,0.1,0.2,0.5,3.2,2.7,0.4,0.2,0.4,0.2
Bryce McGowens,1.8,4.2,0.8,1.2,0.8,5.3,1.8,1.0,0.3,0.1,0.6
Nick Smith Jr.,2.7,6.2,0.1,0.2,1.4,7.0,1.6,1.0,0.1,0.3,0.9
Brandon Miller,5.2,12.6,1.5,1.9,2.0,13.9,3.7,2.2,0.7,0.5,1.6
Jevon Carter,2.0,5.6,0.1,0.1,1.2,5.4,0.8,1.2,0.5,0.3,0.6
Andre Drummond,3.0,5.6,1.5,2.6,0.0,7.5,8.5,0.6,1.2,0.6,1.2
Patrick Williams,3.7,8.2,1.2,1.5,1.3,9.8,3.9,1.6,0.9,0.8,1.3
Ayo Dosunmu,3.2,6.8,0.8,1.1,1.0,8.4,2.5,2.0,0.7,0.3,0.8
Dalen Terry,0.8,2.1,0.4,0.5,0.2,2.2,1.5,1.2,0.2,0.3,0.5
Georges Niang,3.2,7.8,0.5,0.6,1.7,8.6,3.7,1.2,0.3,0.2,0.8
Sam Merrill,2.5,6.1,0.3,0.3,2.2,7.6,2.0,1.3,0.3,0.0,0.3
Isaac Okoro,3.1,6.4,1.5,2.1,0.9,8.6,3.4,1.9,0.8,0.4,0.9
Tristan Thompson,1.6,2.4,0.4,1.2,0.0,3.6,3.7,1.0,0.2,0.3,0.6
Dean Wade,1.7,4.4,0.5,0.6,1.4,5.4,4.6,1.0,0.9,0.3,0.5
Craig Porter Jr.,3.0,5.9,1.0,1.5,0.3,7.2,2.7,3.2,0.7,0.5,1.1
Josh Green,2.8,6.0,0.6,1.1,1.1,7.3,3.0,2.5,0.8,0.2,0.9
Derrick Jones Jr.,3.9,7.9,1.4,1.9,1.4,10.6,3.8,1.0,0.9,0.9,0.9
Dwight Powell,1.6,2.3,1.4,1.9,0.0,4.7,3.9,1.7,0.6,0.4,0.5
Seth Curry,1.5,4.1,0.4,0.5,0.9,4.3,1.5,0.8,0.5,0.1,0.4
Grant Williams,2.8,6.8,0.8,1.1,1.7,8.2,3.5,1.7,0.5,0.6,1.0
A.J. Lawson,1.7,3.6,0.6,0.8,0.6,4.6,1.4,0.6,0.5,0.1,0.5
Jaden Hardy,2.9,7.6,0.8,1.1,1.3,7.8,2.2,1.6,0.3,0.1,0.8
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.5,1.0,0.2,0.5,1.1
Kevin Knox II,3.3,6.8,0.8,0.9,1.3,8.6,2.5,0.8,0.5,0.3,0.7
James Wiseman,2.8,4.0,0.8,1.2,0.0,6.2,4.2,0.6,0.1,0.7,0.9
Killian Hayes,3.0,7.4,0.9,1.3,0.5,7.4,2.9,4.8,1.0,0.5,1.3
Isaiah Livers,1.7,5.0,0.5,0.8,1.0,5.0,2.1,1.1,0.6,0.2,0.7
Jaden Ivey,4.8,10.6,3.0,4.1,1.2,13.8,3.8,3.5,0.8,0.6,2.3
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Marcus Sasser,2.6,5.5,0.6,0.7,1.0,6.8,1.6,2.6,0.6,0.2,0.8
Andrew Wiggins,4.6,10.9,1.8,2.6,0.9,11.9,4.2,1.5,0.3,0.4,1.4
Trayce Jackson-Davis,2.9,4.3,1.1,1.8,0.0,7.0,4.3,1.0,0.4,0.8,0.8
Jae'Sean Tate,1.9,4.0,0.5,0.8,0.5,4.9,3.6,1.1,0.7,0.2,0.5
Aaron Holiday,2.4,5.5,0.6,0.7,1.2,6.5,1.9,1.6,0.5,0.1,0.7
Jeff Green,2.2,4.1,1.9,2.3,0.4,6.6,2.0,0.7,0.1,0.5,0.7
Jock Landale,0.8,2.2,0.3,0.4,0.1,2.0,1.8,0.5,0.3,0.4,0.3
