,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Sam Hauser,2.9,6.6,0.2,0.3,2.3,8.4,3.6,1.0,0.4,0.3,0.5
Payton Pritchard,2.7,6.4,0.4,0.5,1.6,7.4,3.2,2.9,0.4,0.1,0.6
Oshae Brissett,1.1,2.7,0.8,1.2,0.4,3.4,3.1,0.5,0.5,0.0,0.2
Luke Kornet,2.2,3.2,0.9,1.0,0.0,5.2,3.7,0.8,0.5,1.0,0.4
Neemias Queta,2.0,3.5,0.9,1.2,0.0,4.9,4.8,0.5,0.5,0.3,0.4
Royce O'Neale,2.6,6.8,0.3,0.5,2.0,7.5,4.6,3.1,0.8,0.6,1.1
Dorian Finney-Smith,3.6,8.4,0.2,0.3,2.3,9.9,4.9,1.3,0.7,0.5,0.8
Lonnie Walker IV,4.6,9.7,1.5,2.0,2.3,13.1,2.5,1.5,0.6,0.4,1.3
Trendon Watford,2.5,4.7,0.9,1.1,0.3,6.2,3.2,1.7,0.5,0.3,0.9
P.J. Washington Jr.,4.9,11.5,1.5,2.0,1.8,13.0,5.2,2.3,0.9,0.7,1.5
Brandon Miller,5.4,12.8,1.5,1.9,2.1,14.4,3.8,2.2,0.6,0.5,1.6
JT Thor,1.3,3.6,0.1,0.2,0.5,3.2,2.7,0.4,0.2,0.4,0.2
Nick Richards,3.4,5.0,1.9,2.5,0.0,8.8,7.4,0.8,0.4,1.3,1.0
Bryce McGowens,1.8,4.2,0.9,1.2,0.8,5.2,1.9,1.0,0.3,0.1,0.5
Ish Smith,1.8,3.8,0.1,0.1,0.1,3.8,1.7,3.1,0.3,0.1,1.3
Nick Smith Jr.,2.7,6.2,0.2,0.2,1.5,7.0,1.4,0.9,0.2,0.4,0.8
Ayo Dosunmu,3.1,6.8,0.8,1.0,1.0,8.0,2.5,2.0,0.7,0.4,0.8
Patrick Williams,3.7,8.2,1.2,1.6,1.3,9.8,3.9,1.4,0.9,0.8,1.3
Andre Drummond,3.1,5.7,1.5,2.6,0.0,7.6,8.5,0.5,1.2,0.6,1.2
Jevon Carter,2.0,5.5,0.1,0.1,1.2,5.2,0.7,1.2,0.6,0.3,0.5
Dalen Terry,0.8,2.0,0.5,0.6,0.3,2.4,1.7,1.3,0.2,0.3,0.5
Isaac Okoro,3.0,6.0,1.6,2.2,0.9,8.5,3.4,2.0,0.9,0.4,0.9
Georges Niang,3.2,7.7,0.4,0.5,1.7,8.5,3.8,1.2,0.3,0.2,0.9
Craig Porter Jr.,3.0,5.9,1.0,1.5,0.3,7.2,2.7,3.2,0.7,0.5,1.1
Dean Wade,1.7,4.3,0.4,0.5,1.3,5.2,4.6,0.9,0.8,0.3,0.5
