,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Garrison Mathews,0.9523809523809523,2.142857142857143,0.0,0.09523809523809523,0.9047619047619048,2.8095238095238093,1.0476190476190477,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333
Onyeka Okongwu,3.6875,6.3125,1.875,2.21875,0.375,9.625,6.71875,1.40625,0.53125,0.875,0.75
Sam Hauser,5.878787878787879,12.969696969696969,0.48484848484848486,0.6060606060606061,4.7272727272727275,16.96969696969697,7.03030303030303,2.0,0.9090909090909091,0.5454545454545454,0.9696969696969697
Payton Pritchard,5.333333333333333,12.909090909090908,0.7878787878787878,1.2121212121212122,3.272727272727273,14.727272727272727,6.424242424242424,6.121212121212121,0.8484848484848485,0.18181818181818182,1.0909090909090908
Al Horford,5.714285714285714,11.857142857142858,0.7142857142857143,0.7142857142857143,2.857142857142857,15.0,13.714285714285714,5.785714285714286,0.9285714285714286,2.2142857142857144,1.6428571428571428
Luke Kornet,4.6,6.3,1.4,1.6,0.0,10.6,7.0,1.5,0.9,1.9,0.7
Neemias Queta,4.333333333333333,7.5,2.0,2.6666666666666665,0.0,10.666666666666666,10.5,1.1666666666666667,1.0,0.6666666666666666,0.8333333333333334
Royce O'Neale,2.6176470588235294,6.911764705882353,0.3235294117647059,0.5294117647058824,2.0294117647058822,7.588235294117647,4.705882352941177,3.2058823529411766,0.7647058823529411,0.6764705882352942,0.9705882352941176
Dennis Smith Jr.,2.75,6.7,1.0,1.25,0.55,7.05,2.9,3.75,0.9,0.15,1.1
Day'Ron Sharpe,3.0285714285714285,5.228571428571429,1.3428571428571427,2.2857142857142856,0.02857142857142857,7.428571428571429,7.142857142857143,1.4,0.45714285714285713,0.8857142857142857,1.0571428571428572
Dorian Finney-Smith,3.6875,8.53125,0.25,0.3125,2.28125,9.90625,4.9375,1.25,0.71875,0.5,0.78125
Cam Thomas,7.6923076923076925,17.846153846153847,3.5,4.3076923076923075,1.9230769230769231,20.807692307692307,2.5,2.269230769230769,0.6153846153846154,0.34615384615384615,1.6538461538461537
Trendon Watford,2.6,4.84,0.96,1.16,0.32,6.48,3.28,1.76,0.52,0.28,0.88
Jalen Wilson,1.4545454545454546,2.909090909090909,1.3636363636363635,1.3636363636363635,0.18181818181818182,4.454545454545454,2.1818181818181817,0.8181818181818182,0.2727272727272727,0.09090909090909091,0.2727272727272727
P.J. Washington Jr.,5.0344827586206895,11.793103448275861,1.5517241379310345,2.0344827586206895,1.8275862068965518,13.448275862068966,5.310344827586207,2.3448275862068964,0.896551724137931,0.7586206896551724,1.5172413793103448
Brandon Miller,5.607142857142857,12.964285714285714,1.5714285714285714,1.9285714285714286,2.107142857142857,14.892857142857142,3.8214285714285716,2.2142857142857144,0.6428571428571429,0.5357142857142857,1.7142857142857142
JT Thor,1.2307692307692308,3.1923076923076925,0.11538461538461539,0.2692307692307692,0.5,3.076923076923077,2.3846153846153846,0.4230769230769231,0.23076923076923078,0.38461538461538464,0.23076923076923078
Bryce McGowens,1.8888888888888888,4.148148148148148,0.9259259259259259,1.2592592592592593,0.8148148148148148,5.518518518518518,1.9259259259259258,1.037037037037037,0.2962962962962963,0.1111111111111111,0.5185185185185185
Ish Smith,1.8461538461538463,3.6538461538461537,0.07692307692307693,0.07692307692307693,0.07692307692307693,3.8461538461538463,1.7307692307692308,3.269230769230769,0.3076923076923077,0.07692307692307693,1.4230769230769231
Nick Smith Jr.,2.3529411764705883,5.117647058823529,0.11764705882352941,0.11764705882352941,1.3529411764705883,6.176470588235294,1.0588235294117647,0.8235294117647058,0.058823529411764705,0.4117647058823529,0.5882352941176471
Ayo Dosunmu,3.1176470588235294,6.852941176470588,0.7941176470588235,1.0588235294117647,0.9411764705882353,7.970588235294118,2.4705882352941178,1.8823529411764706,0.7647058823529411,0.29411764705882354,0.8235294117647058
Patrick Williams,3.75,8.277777777777779,1.1944444444444444,1.5555555555555556,1.3333333333333333,10.027777777777779,3.9722222222222223,1.4722222222222223,0.8888888888888888,0.8055555555555556,1.25
Jevon Carter,1.9722222222222223,5.611111111111111,0.08333333333333333,0.1388888888888889,1.2222222222222223,5.25,0.7222222222222222,1.25,0.5833333333333334,0.3055555555555556,0.5555555555555556
Caris LeVert,5.923076923076923,13.961538461538462,2.423076923076923,3.1923076923076925,1.8846153846153846,16.153846153846153,3.5,3.923076923076923,1.0,0.38461538461538464,1.3846153846153846
Isaac Okoro,3.16,6.24,1.52,2.16,0.92,8.76,3.28,2.16,0.88,0.44,0.76
Georges Niang,3.1176470588235294,7.705882352941177,0.47058823529411764,0.5588235294117647,1.5588235294117647,8.264705882352942,3.588235294117647,1.1764705882352942,0.3235294117647059,0.14705882352941177,0.8529411764705882
Craig Porter Jr.,3.0869565217391304,6.130434782608695,1.0434782608695652,1.608695652173913,0.30434782608695654,7.521739130434782,2.6956521739130435,3.3043478260869565,0.6956521739130435,0.4782608695652174,1.0
Dean Wade,1.7777777777777777,4.407407407407407,0.4074074074074074,0.5185185185185185,1.3703703703703705,5.333333333333333,4.703703703703703,0.8518518518518519,0.8518518518518519,0.2962962962962963,0.48148148148148145
Sam Merrill,2.210526315789474,5.2105263157894735,0.15789473684210525,0.21052631578947367,1.9473684210526316,6.526315789473684,1.4736842105263157,1.2105263157894737,0.21052631578947367,0.05263157894736842,0.3684210526315789
Tristan Thompson,1.5172413793103448,2.310344827586207,0.3448275862068966,1.0344827586206897,0.0,3.3793103448275863,3.7586206896551726,1.0,0.20689655172413793,0.3103448275862069,0.5517241379310345
Grant Williams,3.0,7.1875,0.75,1.15625,1.84375,8.59375,3.71875,1.65625,0.46875,0.625,0.96875
Jaden Hardy,2.8,7.566666666666666,0.8,1.2,1.3333333333333333,7.733333333333333,1.9,1.4333333333333333,0.36666666666666664,0.06666666666666667,0.6666666666666666
Josh Green,2.4782608695652173,5.782608695652174,0.6086956521739131,0.9565217391304348,1.1304347826086956,6.695652173913044,2.652173913043478,2.4782608695652173,0.9130434782608695,0.13043478260869565,0.9565217391304348
Derrick Jones Jr.,3.6470588235294117,7.735294117647059,1.4411764705882353,1.911764705882353,1.4411764705882353,10.176470588235293,3.676470588235294,1.0,0.9117647058823529,0.8823529411764706,0.8823529411764706
Dwight Powell,1.5625,2.125,1.46875,1.875,0.03125,4.625,3.40625,1.375,0.4375,0.34375,0.40625
Seth Curry,1.6153846153846154,4.230769230769231,0.5384615384615384,0.6153846153846154,1.0,4.769230769230769,1.5769230769230769,0.9615384615384616,0.5769230769230769,0.11538461538461539,0.4230769230769231
Christian Braun,6.171428571428572,13.257142857142858,2.857142857142857,3.8285714285714287,1.4857142857142858,16.685714285714287,7.314285714285714,3.5428571428571427,0.8,0.7428571428571429,1.4857142857142858
Zeke Nnaji,2.5517241379310347,5.379310344827586,1.5172413793103448,2.413793103448276,0.27586206896551724,6.896551724137931,4.758620689655173,1.0344827586206897,0.41379310344827586,1.3793103448275863,1.3103448275862069
Justin Holiday,3.3684210526315788,6.631578947368421,0.0,0.0,2.1052631578947367,8.842105263157896,2.9473684210526314,2.4210526315789473,1.368421052631579,0.10526315789473684,0.5263157894736842
Peyton Watson,5.151515151515151,10.06060606060606,1.696969696969697,2.606060606060606,1.2121212121212122,13.212121212121213,5.151515151515151,2.121212121212121,1.0909090909090908,1.7575757575757576,1.2121212121212122
Julian Strawther,4.4375,11.5,1.0,1.4375,2.3125,12.1875,3.0,2.1875,0.9375,0.375,0.9375
Marvin Bagley III,4.12,7.0,1.88,2.28,0.04,10.16,4.56,1.04,0.16,0.56,1.16
Alec Burks,3.037037037037037,8.407407407407407,2.6666666666666665,3.0,1.8518518518518519,10.592592592592593,2.185185185185185,1.3333333333333333,0.4444444444444444,0.2222222222222222,0.5555555555555556
Marcus Sasser,2.8,5.766666666666667,0.6,0.7,1.2,7.4,1.6,2.3333333333333335,0.6,0.16666666666666666,0.8333333333333334
Jaden Ivey,4.4,9.6,2.966666666666667,3.8666666666666667,1.1333333333333333,12.9,3.5,3.1,0.7666666666666667,0.5333333333333333,2.033333333333333
Kevin Knox II,2.8125,5.8125,0.5,0.5625,1.0625,7.1875,2.25,0.5625,0.4375,0.1875,0.6875
